"baseMean","log2FoldChange","lfcSE","pvalue","padj","gene"
2.61702725970008,-8.15923296718113e-06,0.00144270309228389,4.01908938532512e-08,0.000522361047410706,"MTCO1P40"
8.61209599182461,0.605340213024807,0.15909757085228,6.75813847637501e-06,0.0175671051554892,"HSD17B14"
23.6308180737413,-1.18637320736774e-05,0.0014426920874321,5.95445271997898e-06,0.0175671051554892,"PLAT"
67.2683247830293,0.382734062335861,0.0962874440034339,3.16150220725128e-06,0.0175671051554892,"CLTA"
5.21420526925133,0.287918059711624,0.126566762846479,5.93149204439342e-06,0.0175671051554892,"C19orf47"
3.25333528849574,0.605383517399038,0.163931310754119,9.51734543538786e-06,0.0206161564372893,"C9orf72"
1.19946370340564,0.729524555935237,0.205400201839693,1.4453156843176e-05,0.0268353827843941,"TTC39A"
3.67570749804006,0.595838274644879,0.169666817638605,1.88178375201091e-05,0.0305719292811073,"C4orf48"
16.5965123954262,0.36949253714273,0.108002688097581,2.53264344061215e-05,0.0365741853307067,"TESK1"
10.704722000196,0.334360845413684,0.0999962449206376,3.17538904206235e-05,0.0412705313796844,"FAM241B"
28.7619408552399,0.243265490306932,0.0775785826039669,6.3790058596949e-05,0.0536424470904105,"RHEB"
0.997523397583078,0.892230376584733,0.283443397433237,6.44507447611426e-05,0.0536424470904105,"C5"
9.64341299091149,0.416221044325666,0.131793777198058,6.27228894342206e-05,0.0536424470904105,"TP53I3"
6.92174011788471,0.408507243730236,0.130424286233464,6.60367125834091e-05,0.0536424470904105,"SLC39A4"
14.4950007584265,1.00800951912067,0.306891069191638,5.9704703832231e-05,0.0536424470904105,"CLDN3"
2.14997777018596,0.593970883268151,0.185572447242884,5.05677206347745e-05,0.0536424470904105,"NRIP3"
2.35825915684642,-8.98593143917376e-06,0.00144268030247673,7.28075298158663e-05,0.0556634979421655,"SEC14L2"
23.0670246170599,0.397237761955274,0.12816422158406,7.7741124049845e-05,0.0561334105153242,"PYCR1"
19.4743332695474,0.259125880957151,0.0863850133790471,9.66932961626543e-05,0.0661433036961062,"PEPD"
510.982587335263,-9.65884044618185e-06,0.00144270284299131,0.000131601466313604,0.077746557167178,"PI3"
10.0261851360967,-5.53918471621264e-06,0.00144269788100394,0.000123402913291553,0.077746557167178,"WIF1"
4.32554543462119,-0.776763799661848,0.280662898656854,0.000131590461431475,0.077746557167178,"MT1M"
4.51739791013503,-8.50639527036015e-06,0.00144269563486787,0.000154018725526998,0.0821370767331153,"IL1R2"
34.9833021080525,1.56579950760316,0.387475582435532,0.000157992376573662,0.0821370767331153,"H19"
2.92814316797325,-0.46835060899107,0.164904088683465,0.00015493311021445,0.0821370767331153,"PSD3"
4.50877859416629,0.291318312154478,0.106161993371156,0.00018023750107505,0.0900979539027855,"RPUSD3"
4.99917081285756,0.305629672703551,0.11216086663391,0.000195712516057514,0.0942102063407228,"ETNK1"
38.5966826808883,0.372815529539822,0.138259272933907,0.000261366289099688,0.0965757437241118,"HMGB3"
9.1057088268456,0.267316577862485,0.0981871890788614,0.000208390701733791,0.0965757437241118,"GALK1"
6.59868798639146,0.295419415934892,0.113330541819262,0.000275528326122994,0.0965757437241118,"ACO1"
1.47377897098052,-1.74059269404198e-05,0.00144271613655576,0.00028106806594087,0.0965757437241118,"C22orf23"
7.22446122372206,-2.47851534274889e-05,0.00144273790115419,0.000262799169691944,0.0965757437241118,"DUOX1"
2.38774602753244,0.368562160912081,0.142521167739236,0.000264773689214466,0.0965757437241118,"TRPM2"
11.6184601098765,0.337249313750208,0.124283063861375,0.000232398821951771,0.0965757437241118,"MELK"
41.4260154216009,0.255133735880279,0.0957676421897564,0.000268171396542594,0.0965757437241118,"PCBD1"
2.07956198491347,2.03127858937595e-06,0.00144267003329966,0.00023331987164725,0.0965757437241118,"SCG5"
22.855197313313,0.182556675297514,0.069900403000267,0.000282363488614007,0.0965757437241118,"CANT1"
9.25598580943248,0.224608524433994,0.085832032932679,0.000264682317944013,0.0965757437241118,"GMFB"
6.30371363935976,-2.14921652219217e-05,0.0014427371523929,0.000300102667205136,0.0968659384021681,"APOL4"
22.9271085975012,0.435969410345637,0.165989788861416,0.000326627086876517,0.0968659384021681,"HILPDA"
21.7712964225703,-2.39062693071558e-06,0.00144269427044834,0.00032355150842809,0.0968659384021681,"FGFBP2"
2.67845135395677,0.308010191698443,0.124679790351195,0.000342835513310743,0.0968659384021681,"ATP23"
10.9872928963182,-0.474083043840428,0.193026515645342,0.000322967106664006,0.0968659384021681,"IFFO2"
3.55805319412631,0.360715386775049,0.14255133176439,0.000337692183986035,0.0968659384021681,"TMEM80"
4.95380602115426,0.282994990374387,0.11153518117558,0.000317890670209987,0.0968659384021681,"SEC22B"
6.53933968326049,-0.361742705206813,0.145112143210906,0.000341097416234243,0.0968659384021681,"PRAG1"
5.38921535673829,-0.265618367604154,0.104882925903955,0.000368767928403411,0.0984056448903827,"LPP"
3.42767048970245,0.415044304688649,0.164781812243289,0.000370999199786778,0.0984056448903827,"SVIP"
1.01974518978712,-1.62953249724541e-05,0.00144271271314314,0.000367066124983827,0.0984056448903827,"ZNNT1"
5.7319375850365,-0.291924418800234,0.11659273703266,0.000382505586811945,0.099428502235897,"NUDT18"
30.437329360229,0.128263321646745,0.0520875304290109,0.000428815613052147,0.109280716134093,"DENR"
8.1318081570951,0.583012416806059,0.230161252121144,0.00043898412944792,0.109720706354512,"PLA2G4A"
7.12497971413744,-4.31817443218122e-05,0.00144280722160632,0.000472226085693672,0.11341649818511,"TRIOBP"
